Robotics,机器人学
Autonomous Systems,自主系统
Automation,自动化
Mechatronics,机电一体化
Actuator,执行器
Sensor,传感器
End-effector,末端执行器
Degrees of Freedom,自由度
DoF,DoF
Kinematics,运动学
Dynamics,动力学
Control Theory,控制理论
Feedback Control,反馈控制
Real-time System,实时系统
Industrial Robot,工业机器人
Service Robot,服务机器人
Mobile Robot,移动机器人
Humanoid Robot,人形机器人
Collaborative Robot,协作机器人
Cobot,Cobot
Autonomous Underwater Vehicle,自主水下机器人
AUV,AUV
Unmanned Aerial Vehicle,无人机
UAV,UAV
Automated Guided Vehicle,自动导引车
AGV,AGV
Soft Robot,软体机器人
Swarm Robot,群体机器人
Path Planning,路径规划
Trajectory Tracking,轨迹跟踪
PID,PID
Proportional-Integral-Derivative Control,比例积分微分控制
Inverse Kinematics,逆运动学
Forward Kinematics,正运动学
Motion Control,运动控制
Force Control,力控制
Impedance Control,阻抗控制
Simultaneous Localization and Mapping,同步定位与建图
SLAM,SLAM
Odometry,里程计
Dead Reckoning,航位推算
Computer Vision,计算机视觉
Light Detection and Ranging,激光雷达
LiDAR,LiDAR
RGB-D Camera,深度相机
Stereo Vision,立体视觉
Object Detection,目标检测
Semantic Segmentation,语义分割
Point Cloud,点云
Feature Extraction,特征提取
Iterative Closest Point,迭代最近点算法
ICP,ICP
Neural Network,神经网络
Deep Reinforcement Learning,深度强化学习
DRL,DRL
Convolutional Neural Network,卷积神经网络
CNN,CNN
Recurrent Neural Network,循环神经网络
RNN,RNN
Genetic Algorithm,遗传算法
Particle Swarm Optimization,粒子群优化
PSO,PSO
Kalman Filter,卡尔曼滤波器
Extended Kalman Filter,扩展卡尔曼滤波器
EKF,EKF
Bayesian Network,贝叶斯网络
Industrial Automation,工业自动化
Precision Agriculture,精准农业
Surgical Robot,手术机器人
Warehouse Automation,仓储自动化
Smart Manufacturing,智能制造
Autonomous Driving,自动驾驶
Human-Robot Interaction,人机交互
HRI,HRI
Teleoperation,远程操作
Servo Motor,伺服电机
Stepper Motor,步进电机
Encoder,编码器
Inertial Measurement Unit,惯性测量单元
IMU,IMU
Gripper,机械夹爪
