Artificial General Intelligence,通用人工智能
AGI,AGI
Artificial Intelligence,人工智能
AI,AI
Association analysis,关联分析
Attention mechanism,注意力机制
Attribute conditional independence assumption,属性条件独立性假设
Attribute space,属性空间
Attribute value,属性值
Autoencoder,自编码器
Automatic speech recognition,自动语音识别
Automatic summarization,自动摘要
Average gradient,平均梯度
Average-Pooling,平均池化
Accumulated error backpropagation,累积误差逆传播
Activation Function,激活函数
Adaptive Resonance Theory,自适应谐振理论
ART,ART
Addictive model,加性学习
Adversarial Networks,对抗网络
Affine Layer,仿射层
Affinity matrix,亲和矩阵
Agent,智能体
Algorithm,算法
Alpha-beta pruning,α-β剪枝
Anomaly detection,异常检测
Approximation,近似
Area Under ROC Curve,ROC曲线下面积
AUC,AUC
Backpropagation,反向传播
BP,BP
Base learner,基学习器
Base learning algorithm,基学习算法
Batch Normalization,批量归一化
BN,BN
Bayes decision rule,贝叶斯判定准则
Bayes Model Averaging,贝叶斯模型平均
BMA,BMA
Bayes classifier,贝叶斯分类器
Bayes optimal classifier,贝叶斯最优分类器
Bayesian decision theory,贝叶斯决策论
Bayesian network,贝叶斯网络
Bert,BERT
Between-class scatter matrix,类间散度矩阵
Bias,偏置
Bias-variance decomposition,偏差-方差分解
Bias-Variance Dilemma,偏差–方差困境
Bi-directional Long-Short Term Memory,双向长短期记忆
Bi-LSTM,Bi-LSTM
Binary classification,二分类
Binomial test,二项检验
Bi-partition,二分法
Boltzmann machine,玻尔兹曼机
Bootstrap sampling,可重复采样
Bootstrapping,自助法
Break-Event Point,平衡点
BEP,BEP
Calibration,校准
Cascade-Correlation,级联相关
Categorical attribute,离散属性
Class-conditional probability,类条件概率
Classification and regression tree,分类与回归树
CART,CART
Classifier,分类器
Class-imbalance,类别不平衡
Closed-form,闭式
Cluster,簇
Clustering,聚类
Clustering ensemble,聚类集成
Co-adapting,共适应
Coding matrix,编码矩阵
COLT,国际学习理论会议
Competitive learning,竞争型学习
Component learner,组件学习器
Comprehensibility,可解释性
Computation Cost,计算成本
Computational Linguistics,计算语言学
Computer vision,计算机视觉
Conditional entropy,条件熵
Conditional mutual information,条件互信息
Conditional Probability Table,条件概率表
CPT,CPT
Conditional random field/CRF,条件随机场
Conditional risk,条件风险
Confidence,置信度
Confusion matrix,混淆矩阵
Connection weight,连接权
Connectionism,连结主义
Consistency,一致性
Contingency table,列联表
Continuous attribute,连续属性
Convergence,收敛
Conversational agent,会话智能体
Convexity,凸性
Convolutional neural network,卷积神经网络
CNN,CNN
Co-occurrence,共现
Correlation coefficient,相关系数
Cosine similarity,余弦相似度
Cost curve,成本曲线
Cost Function,成本函数
Cost matrix,成本矩阵
Cost-sensitive,成本敏感
Cross entropy,交叉熵
Cross validation,交叉验证
Crowdsourcing,众包
Curse of dimensionality,维数灾难
Cut point,截断点
Cutting plane algorithm,割平面法
Decoder,解码器
Decision Boundary,决策边界
Decision stump,决策树桩
Decision tree,决策树
Deep Belief Network,深度信念网络
Deep Convolutional Generative Adversarial Network,深度卷积生成对抗网络
DCGAN,DCGAN
Deep learning,深度学习
Deep neural network,深度神经网络
DNN,DNN
Q-Learning,深度Q-Learning
Deep Q-Network,深度Q-network
Density estimation,密度估计
Density-based clustering,密度聚类
Differentiable neural computer,可微分神经计算机
Discriminator,判别器
Distribution,分布
Divergence,散度
Diversity measure,多样性度量
Domain adaption,领域自适应
Downsampling,下采样
Dynamic programming,动态规划
Eigenvalue decomposition,特征值分解
Embedding,嵌入
